view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
B,baseline,Bagging_DT_B,test,0.25,10,20,5,100,1.0,0.21086320448617354,0.7763486279071286,0.9641768550817895,0.4491701244813278,0.1047665134285023,0.1699038650186384,964,113444,531,3700,433,0.004658916429041457,0.8952334865714977,0.1047665134285023,0.9953410835709585,118108,0.008162021200934738
B,sub_sampling,Bagging_DT_B,test,0.25,10,20,5,100,1.0,0.20136504269578756,0.7790682668141076,0.9339587496189928,0.215780499147419,0.3368013549479797,0.26303854875283444,6451,108916,5059,2741,1392,0.044386926957666155,0.6631986450520203,0.3368013549479797,0.9556130730423339,118108,0.05461950079588174
B,smote,Bagging_DT_B,test,0.25,10,20,5,100,1.0,0.18660616187018514,0.7644009910230398,0.9014800013546923,0.15997462158977613,0.42705056859424145,0.23275748384544376,11033,104707,9268,2368,1765,0.08131607808729985,0.5729494314057585,0.42705056859424145,0.9186839219127002,118108,0.0934145019812375
B,sub_sampling_plus_smote,Bagging_DT_B,test,0.25,10,20,5,100,1.0,0.18693560688660843,0.7722213002446032,0.9021319470315304,0.16233175700254637,0.43188966852165495,0.23597065238945072,10996,104764,9211,2348,1785,0.0808159684141259,0.568110331478345,0.43188966852165495,0.9191840315858741,118108,0.09310122938327632
B,baseline,Bagging_DT_B,valid,0.25,10,20,5,100,1.0,0.2121563410529854,0.7785947106674596,0.964439552531036,0.4673913043478261,0.11705989110707804,0.18722786647314948,828,90740,441,2919,387,0.00483653392702427,0.882940108892922,0.11705989110707804,0.9951634660729757,94487,0.008763110269137554
B,sub_sampling,Bagging_DT_B,valid,0.25,10,20,5,100,1.0,0.20642886593902682,0.7832718951349122,0.933673415390477,0.21534320323014805,0.338777979431337,0.26331256612201714,5201,87100,4081,2186,1120,0.04475713141992301,0.6612220205686631,0.338777979431337,0.955242868580077,94487,0.055044609311333835
B,smote,Bagging_DT_B,valid,0.25,10,20,5,100,1.0,0.19151482509071321,0.7675217444586943,0.9008117518812112,0.15913688469318948,0.4283121597096189,0.232055063913471,8898,83699,7482,1890,1416,0.08205656880271109,0.5716878402903811,0.4283121597096189,0.9179434311972889,94487,0.09417168499370283
B,sub_sampling_plus_smote,Bagging_DT_B,valid,0.25,10,20,5,100,1.0,0.19149540853481778,0.7748243783846749,0.9016690126684094,0.16236037459099628,0.4352692075015124,0.23650258854466266,8863,83757,7424,1867,1439,0.08142047137013193,0.5647307924984876,0.4352692075015124,0.918579528629868,94487,0.09380126366590114
