view,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples
ATBI,SoftVoting_Bagging_DT_ATBI,valid,0.5,multiview_soft_voting,A+T+B+I,0.23637015611694107,0.7922332778159616,0.9650110597225016,0.0,0.0,0.0,0,94487,0.0,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
ATBI,SoftVoting_Bagging_DT_ATBI,test,0.5,multiview_soft_voting,A+T+B+I,0.237263000983724,0.7951134081120574,0.9650066041250381,0.0,0.0,0.0,0,118108,0.0,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
