view,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted
A,Bagging_DT_A,valid,0.5,6,5,2,100,0.8,0.1559405325594208,0.7334119352284107,1.0,0.0018148820326678765,0.0036231884057971015,6,94487,6.35007990517214e-05
A,Bagging_DT_A,test,0.5,6,5,2,100,0.8,0.1503226160030521,0.7360432116020366,1.0,0.0026615049600774254,0.005308880308880309,11,118108,9.313509669116402e-05
