view,method,model,split,threshold,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
AB,baseline,SoftVoting_Bagging_DT_AB,test,0.25,0.2272161830581054,0.7897043876752721,0.9641006536390422,0.4521038495971352,0.1221872731671909,0.19238095238095237,1117,113363,612,3628,505,0.005369598596183373,0.8778127268328091,0.1221872731671909,0.9946304014038166,118108,0.00945744572763911,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling,SoftVoting_Bagging_DT_AB,test,0.25,0.21354554643626597,0.7914241447734722,0.9375402174281167,0.2339238845144357,0.3450278248245826,0.27881513344412945,6096,109305,4670,2707,1426,0.040973897784601886,0.6549721751754174,0.3450278248245826,0.9590261022153981,118108,0.051613777220848714,10,20,5,100,1.0,10,20,5,100,1.0
AB,smote,SoftVoting_Bagging_DT_AB,test,0.25,0.19956448334766974,0.7856096780300246,0.9106411081383141,0.18416133792424988,0.4529397532059037,0.2618548048678137,10165,105682,8293,2261,1872,0.07276157051985084,0.5470602467940963,0.4529397532059037,0.9272384294801491,118108,0.08606529616960748,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling_plus_smote,SoftVoting_Bagging_DT_AB,test,0.25,0.19941377304100152,0.7898072962991288,0.9092186812070309,0.1814753939862709,0.45414952818775706,0.2593257806023763,10343,105509,8466,2256,1877,0.07427944724720334,0.5458504718122429,0.45414952818775706,0.9257205527527966,118108,0.08757239137060994,10,20,5,100,1.0,10,20,5,100,1.0
AB,baseline,SoftVoting_Bagging_DT_AB,valid,0.25,0.2272471369131823,0.7896248032962206,0.9641220485357774,0.45302013422818793,0.12250453720508167,0.19285714285714287,894,90692,489,2901,405,0.005362959388469089,0.8774954627949183,0.12250453720508167,0.9946370406115309,94487,0.009461619058706489,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling,SoftVoting_Bagging_DT_AB,valid,0.25,0.2169724505514776,0.79194044270574,0.9374517129340544,0.23439412484700123,0.34754990925589835,0.27997076023391815,4902,87428,3753,2157,1149,0.04115989076671675,0.6524500907441017,0.34754990925589835,0.9588401092332832,94487,0.05188015282525638,10,20,5,100,1.0,10,20,5,100,1.0
AB,smote,SoftVoting_Bagging_DT_AB,valid,0.25,0.2038664101713948,0.7848798849416952,0.9089292706933229,0.17950889077053345,0.44888082274652147,0.2564589993951439,8267,84398,6783,1822,1484,0.07439049802042091,0.5511191772534785,0.44888082274652147,0.925609501979579,94487,0.08749351762676347,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling_plus_smote,SoftVoting_Bagging_DT_AB,valid,0.25,0.20495262517985632,0.7892738065455298,0.908537682432504,0.17994241842610365,0.4537205081669691,0.2576876825287751,8336,84345,6836,1806,1500,0.07497175946743291,0.5462794918330308,0.4537205081669691,0.925028240532567,94487,0.08822377681585826,10,20,5,100,1.0,10,20,5,100,1.0
