view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
A,baseline,Bagging_DT_A,test,0.8,10,20,5,100,1.0,0.18875116593252414,0.762129296313246,0.9650997392217293,0.9230769230769231,0.0029034599564481006,0.005788712011577424,13,113974,1,4121,12,8.77385391533231e-06,0.9970965400435519,0.0029034599564481006,0.9999912261460847,118108,0.00011006875063501202
A,sub_sampling,Bagging_DT_A,test,0.8,10,20,5,100,1.0,0.1862212835956693,0.763249635515151,0.9652860094151116,0.6896551724137931,0.014517299782240502,0.02843601895734597,87,113948,27,4073,60,0.00023689405571397236,0.9854827002177595,0.014517299782240502,0.9997631059442861,118108,0.0007366139465573881
A,smote,Bagging_DT_A,test,0.8,10,20,5,100,1.0,0.18533196297625606,0.7623158091717555,0.9654130118196904,0.7105263157894737,0.019598354706024678,0.038144572639510245,114,113942,33,4052,81,0.00028953717920596623,0.9804016452939753,0.019598354706024678,0.999710462820794,118108,0.0009652182747993362
A,sub_sampling_plus_smote,Bagging_DT_A,test,0.8,10,20,5,100,1.0,0.1820242350590226,0.7580652442076351,0.9654045449927185,0.7117117117117117,0.01911444471328333,0.03722902921771913,111,113943,32,4054,79,0.0002807633252906339,0.9808855552867167,0.01911444471328333,0.9997192366747094,118108,0.0009398177938835642
A,baseline,Bagging_DT_A,valid,0.8,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9650745605215533,1.0,0.0018148820326678765,0.0036231884057971015,6,91181,0,3300,6,0.0,0.9981851179673321,0.0018148820326678765,1.0,94487,6.35007990517214e-05
A,sub_sampling,Bagging_DT_A,valid,0.8,10,20,5,100,1.0,0.18598395112276367,0.7618379447942347,0.965138061320605,0.603448275862069,0.01058681185722928,0.020808561236623068,58,91158,23,3271,35,0.00025224553360897554,0.9894131881427707,0.01058681185722928,0.999747754466391,94487,0.0006138410574999736
A,smote,Bagging_DT_A,valid,0.8,10,20,5,100,1.0,0.18579580938655207,0.7577989460384246,0.9652862298517256,0.6585365853658537,0.016333938294010888,0.031877213695395513,82,91153,28,3252,54,0.00030708151917614414,0.9836660617059891,0.016333938294010888,0.9996929184808239,94487,0.0008678442537068591
A,sub_sampling_plus_smote,Bagging_DT_A,valid,0.8,10,20,5,100,1.0,0.18272301469983998,0.7542544929000603,0.9652862298517256,0.6585365853658537,0.016333938294010888,0.031877213695395513,82,91153,28,3252,54,0.00030708151917614414,0.9836660617059891,0.016333938294010888,0.9996929184808239,94487,0.0008678442537068591
