view,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted
B,Bagging_DT_B,valid,0.5,6,5,2,100,0.8,0.1501786396245951,0.7353054022376122,0.84375,0.008166969147005444,0.016177351707609346,32,94487,0.0003386709282758475
B,Bagging_DT_B,test,0.5,6,5,2,100,0.8,0.1452268786329023,0.7327148544711548,0.8333333333333334,0.010887974836680378,0.02149510389300215,54,118108,0.00045720865648389607
