view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
AB,baseline,SoftVoting_Bagging_DT_AB_best_balanced,valid,0.25,multiview_soft_voting,A+B,0.2272471369131823,0.7896248032962206,0.9641220485357774,0.45302013422818793,0.12250453720508167,0.19285714285714287,894,90692,489,2901,405,0.005362959388469089,0.8774954627949183,0.12250453720508167,0.9946370406115309,94487,0.009461619058706489,10,20,5,100,1.0,10,20,5,100,1.0
AB,baseline,SoftVoting_Bagging_DT_AB_best_balanced,test,0.25,multiview_soft_voting,A+B,0.2272161830581054,0.7897043876752721,0.9641006536390422,0.4521038495971352,0.1221872731671909,0.19238095238095237,1117,113363,612,3628,505,0.005369598596183373,0.8778127268328091,0.1221872731671909,0.9946304014038166,118108,0.00945744572763911,10,20,5,100,1.0,10,20,5,100,1.0
