view,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
ATB,SoftVoting_Bagging_DT_ATB,valid,0.5,multiview_soft_voting,A+T+B,0.23637015611694107,0.7922332778159616,0.9651909786531481,1.0,0.00514216575922565,0.01023171832681312,17,94487,0.00017991893064654398,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0
ATB,SoftVoting_Bagging_DT_ATB,test,0.5,multiview_soft_voting,A+T+B,0.237263000983724,0.7951134081120574,0.9652267416263082,1.0,0.0062908299056375514,0.012503005530175523,26,118108,0.00022013750127002405,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0
