view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples
ABI,baseline,SoftVoting_Bagging_DT_ABI_best_balanced,valid,0.25,multiview_soft_voting,A+B+I,0.2272471369131823,0.7896248032962206,0.9659953221078031,0.7268292682926829,0.04506957047791894,0.0848761036741669,205,91125,56,3157,149,0.0006141630383522883,0.9549304295220811,0.04506957047791894,0.9993858369616477,94487,0.0021696106342671477,10,20,5,100,1.0,10,20,5,100,1.0,2,10,4,50,0.8
ABI,baseline,SoftVoting_Bagging_DT_ABI_best_balanced,test,0.25,multiview_soft_voting,A+B+I,0.2272161830581054,0.7897043876752721,0.966132692112304,0.7152103559870551,0.053472054197919186,0.0995047276001801,309,113887,88,3912,221,0.0007720991445492433,0.9465279458020808,0.053472054197919186,0.9992279008554508,118108,0.0026162495343245167,10,20,5,100,1.0,10,20,5,100,1.0,2,10,4,50,0.8
