model,precision_target,threshold,valid_pr_auc,valid_roc_auc,valid_precision@thr,valid_recall@thr,test_pr_auc,test_roc_auc,test_precision@thr,test_recall@thr
LogReg_balanced,0.9,,0.038668144246439044,0.5310584188487756,,,0.038216648911528275,0.527013635827851,,
LogReg_balanced,0.95,,0.038668144246439044,0.5310584188487756,,,0.038216648911528275,0.527013635827851,,
LogReg_balanced,default_0.5,0.5,0.038668144246439044,0.5310584188487756,0.03556480795221694,0.9869933454325469,0.038216648911528275,0.527013635827851,0.03566631195157267,0.9893539801596903
RF_balanced_subsample,0.9,0.7668495318469699,0.5096293766659143,0.8881369596977666,0.9006211180124224,0.21929824561403508,0.5099016275459722,0.8872345934399786,0.895169578622816,0.21074280183885796
RF_balanced_subsample,0.95,0.8340300034802779,0.5096293766659143,0.8881369596977666,0.95,0.11494252873563218,0.5099016275459722,0.8872345934399786,0.9523809523809523,0.11129929833051053
RF_balanced_subsample,default_0.5,0.5,0.5096293766659143,0.8881369596977666,0.22951483844829332,0.6854204476709014,0.5099016275459722,0.8872345934399786,0.23080700605663776,0.6823130897653037
