view,method,model,split,threshold,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
AB,baseline,SoftVoting_Bagging_DT_AB,test,0.25,0.2272161830581054,0.7897043876752721,0.9641006536390422,0.4521038495971352,0.1221872731671909,0.19238095238095237,1117,113363,612,3628,505,0.005369598596183373,0.8778127268328091,0.1221872731671909,0.9946304014038166,118108,0.00945744572763911,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling,SoftVoting_Bagging_DT_AB,test,0.25,0.21354554643626597,0.7914241447734722,0.9375402174281167,0.2339238845144357,0.3450278248245826,0.27881513344412945,6096,109305,4670,2707,1426,0.040973897784601886,0.6549721751754174,0.3450278248245826,0.9590261022153981,118108,0.051613777220848714,10,20,5,100,1.0,10,20,5,100,1.0
AB,smote,SoftVoting_Bagging_DT_AB,test,0.25,0.20812089228881567,0.7884546442117853,0.9398770616723676,0.23882435762055615,0.328332930075006,0.27651553744268975,5682,109650,4325,2776,1357,0.03794691818381224,0.6716670699249939,0.328332930075006,0.9620530818161878,118108,0.04810851085447218,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling_plus_smote,SoftVoting_Bagging_DT_AB,test,0.25,0.21005955445365598,0.7878159594449672,0.9385562366647475,0.23579161028416779,0.33728526494072103,0.27755102040816326,5912,109457,4518,2739,1394,0.03964027198947138,0.662714735059279,0.33728526494072103,0.9603597280105286,118108,0.0500558810580147,10,20,5,100,1.0,10,20,5,100,1.0
AB,baseline,SoftVoting_Bagging_DT_AB,valid,0.25,0.2272471369131823,0.7896248032962206,0.9641220485357774,0.45302013422818793,0.12250453720508167,0.19285714285714287,894,90692,489,2901,405,0.005362959388469089,0.8774954627949183,0.12250453720508167,0.9946370406115309,94487,0.009461619058706489,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling,SoftVoting_Bagging_DT_AB,valid,0.25,0.2169724505514776,0.79194044270574,0.9374517129340544,0.23439412484700123,0.34754990925589835,0.27997076023391815,4902,87428,3753,2157,1149,0.04115989076671675,0.6524500907441017,0.34754990925589835,0.9588401092332832,94487,0.05188015282525638,10,20,5,100,1.0,10,20,5,100,1.0
AB,smote,SoftVoting_Bagging_DT_AB,valid,0.25,0.21117659588676058,0.7874928860012009,0.9394519881041836,0.23835319609967498,0.33272837265577737,0.27774270925388206,4615,87666,3515,2206,1100,0.038549697853719526,0.6672716273442226,0.33272837265577737,0.9614503021462805,94487,0.048842697937282374,10,20,5,100,1.0,10,20,5,100,1.0
AB,sub_sampling_plus_smote,SoftVoting_Bagging_DT_AB,valid,0.25,0.21519566979054097,0.788668850844016,0.937991469725994,0.23555003107520198,0.34392014519056263,0.27960162301733676,4827,87491,3690,2169,1137,0.04046895734857043,0.6560798548094374,0.34392014519056263,0.9595310426514295,94487,0.05108639283710987,10,20,5,100,1.0,10,20,5,100,1.0
