method,label,count_class_0,count_class_1,total_rows,minority_over_majority,fraud_rate
original_train,original_train,364721,13224,377945,0.036257851892268336,0.0349892180079112
baseline_A,baseline_resampled_train_A,364721,13224,377945,0.036257851892268336,0.0349892180079112
baseline_B,baseline_resampled_train_B,364721,13224,377945,0.036257851892268336,0.0349892180079112
sub_sampling_A,sub_sampling_resampled_train_A,132240,13224,145464,0.1,0.09090909090909091
sub_sampling_B,sub_sampling_resampled_train_B,132240,13224,145464,0.1,0.09090909090909091
smote_A,smote_resampled_train_A,364721,36472,401193,0.09999972581781691,0.09090886431218889
smote_B,smote_resampled_train_B,364721,36472,401193,0.09999972581781691,0.09090886431218889
sub_sampling_plus_smote_A,sub_sampling_plus_smote_resampled_train_A,264480,26448,290928,0.1,0.09090909090909091
sub_sampling_plus_smote_B,sub_sampling_plus_smote_resampled_train_B,264480,26448,290928,0.1,0.09090909090909091
