view,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
AB,SoftVoting_Bagging_DT_AB,valid,0.5,multiview_soft_voting,A+B,0.2272471369131823,0.7896248032962206,0.965497899181898,0.9107142857142857,0.015426497277676952,0.030339083878643664,56,94487,0.0005926741244827331,10,20,5,100,1.0,10,20,5,100,1.0
AB,SoftVoting_Bagging_DT_AB,test,0.5,multiview_soft_voting,A+B,0.2272161830581054,0.7897043876752721,0.9655061469163816,0.8933333333333333,0.016210984756835228,0.03184410646387833,75,118108,0.0006350120228943002,10,20,5,100,1.0,10,20,5,100,1.0
