view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
A,baseline,Bagging_DT_A_best_balanced,valid,0.25,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9613703472435361,0.3564273789649416,0.12915910465819722,0.18960923623445827,1198,90410,771,2879,427,0.008455708974457398,0.8708408953418028,0.12915910465819722,0.9915442910255426,94487,0.01267899287732704
A,baseline,Bagging_DT_A_best_balanced,test,0.25,10,20,5,100,1.0,0.18875116593252414,0.762129296313246,0.9616283401632404,0.36155447605829283,0.1260585531091217,0.18693936132041622,1441,113055,920,3612,521,0.008071945602105725,0.8739414468908783,0.1260585531091217,0.9919280543978942,118108,0.012200697666542486
