view,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted
T,Bagging_DT_T,valid,0.5,8,10,4,150,1.0,0.062399430606013565,0.6068442687799799,0.9650110597225016,0.0,0.0,0.0,0,94487,0.0
T,Bagging_DT_T,test,0.5,8,10,4,150,1.0,0.06586460114238071,0.6132483676263897,0.9650066041250381,0.0,0.0,0.0,0,118108,0.0
