view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
A,baseline,Bagging_DT_A,test,0.5,10,20,5,100,1.0,0.18875116593252414,0.762129296313246,0.9655061469163816,0.6612021857923497,0.02927655456085168,0.056070435588507876,183,113913,62,4012,121,0.0005439789427506033,0.9707234454391483,0.02927655456085168,0.9994560210572494,118108,0.0015494293358620922
A,sub_sampling,Bagging_DT_A,test,0.5,10,20,5,100,1.0,0.1862212835956693,0.763249635515151,0.9619246791072578,0.3578125,0.11081538833776917,0.16922224274893774,1280,113153,822,3675,458,0.007212107918403159,0.8891846116622308,0.11081538833776917,0.9927878920815968,118108,0.010837538524062723
A,smote,Bagging_DT_A,test,0.5,10,20,5,100,1.0,0.18533196297625606,0.7623158091717555,0.9623903545907135,0.3713572023313905,0.10791192838132108,0.16722909636295463,1201,113220,755,3687,446,0.0066242597060758935,0.892088071618679,0.10791192838132108,0.9933757402939241,118108,0.010168659193280727
A,sub_sampling_plus_smote,Bagging_DT_A,test,0.5,10,20,5,100,1.0,0.1820242350590226,0.7580652442076351,0.9623056863209943,0.3714746172441579,0.1115412533268812,0.17156680312616301,1241,113195,780,3672,461,0.006843606053959201,0.8884587466731187,0.1115412533268812,0.9931563939460408,118108,0.010507332272157686
A,baseline,Bagging_DT_A,valid,0.5,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9655084826484066,0.6666666666666666,0.028433151845130067,0.054540179866550624,141,91134,47,3212,94,0.0005154582643313848,0.9715668481548699,0.028433151845130067,0.9994845417356686,94487,0.001492268777715453
A,sub_sampling,Bagging_DT_A,valid,0.5,10,20,5,100,1.0,0.18598395112276367,0.7618379447942347,0.9624392773609068,0.3805309734513274,0.11705989110707804,0.17904233171408743,1017,90551,630,2919,387,0.006909334181463243,0.882940108892922,0.11705989110707804,0.9930906658185368,94487,0.010763385439266778
A,smote,Bagging_DT_A,valid,0.5,10,20,5,100,1.0,0.18579580938655207,0.7577989460384246,0.9626086128250447,0.3854692230070636,0.11554748941318814,0.17779846404468233,991,90572,609,2924,382,0.0066790230420811355,0.8844525105868118,0.11554748941318814,0.9933209769579189,94487,0.010488215310042652
A,sub_sampling_plus_smote,Bagging_DT_A,valid,0.5,10,20,5,100,1.0,0.18272301469983998,0.7542544929000603,0.9625345285594844,0.38529411764705884,0.11887477313974591,0.18169209431345354,1020,90554,627,2913,393,0.006876432590122942,0.8811252268602541,0.11887477313974591,0.9931235674098771,94487,0.010795135838792639
