view,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples
ABI,SoftVoting_Bagging_DT_ABI,valid,0.5,multiview_soft_voting,A+B+I,0.2272471369131823,0.7896248032962206,0.9651909786531481,1.0,0.00514216575922565,0.01023171832681312,17,94487,0.00017991893064654398,10,20,5,100,1.0,10,20,5,100,1.0,2,10,4,50,0.8
ABI,SoftVoting_Bagging_DT_ABI,test,0.5,multiview_soft_voting,A+B+I,0.2272161830581054,0.7897043876752721,0.96523520845328,1.0,0.006532784902008227,0.012980769230769231,27,118108,0.00022860432824194804,10,20,5,100,1.0,10,20,5,100,1.0,2,10,4,50,0.8
