view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples
TBI,baseline,SoftVoting_Bagging_DT_TBI_best_balanced,valid,0.25,multiview_soft_voting,T+B+I,0.22368459852522618,0.7771884761522809,0.9654449818493549,0.9555555555555556,0.013006654567453115,0.025663980901223515,45,91179,2,3263,43,2.193439422686744e-05,0.9869933454325469,0.013006654567453115,0.9999780656057732,94487,0.0004762559928879105,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
TBI,baseline,SoftVoting_Bagging_DT_TBI_best_balanced,test,0.25,multiview_soft_voting,T+B+I,0.224412748647858,0.7791499763803309,0.9654892132624378,0.9253731343283582,0.015001209774981853,0.029523809523809525,67,113970,5,4071,62,4.386926957666155e-05,0.9849987902250181,0.015001209774981853,0.9999561307304233,118108,0.0005672774071189081,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
