view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
A,baseline,Bagging_DT_A,test,0.25,10,20,5,100,1.0,0.18875116593252414,0.762129296313246,0.9616283401632404,0.36155447605829283,0.1260585531091217,0.18693936132041622,1441,113055,920,3612,521,0.008071945602105725,0.8739414468908783,0.1260585531091217,0.9919280543978942,118108,0.012200697666542486
A,sub_sampling,Bagging_DT_A,test,0.25,10,20,5,100,1.0,0.1862212835956693,0.763249635515151,0.9351525722220341,0.22113255298956028,0.3382530849262037,0.26743185078909615,6322,109051,4924,2735,1398,0.04320245667909629,0.6617469150737962,0.3382530849262037,0.9567975433209037,118108,0.05352728011650354
A,smote,Bagging_DT_A,test,0.25,10,20,5,100,1.0,0.1850392225188447,0.7569229629408694,0.9021150133775866,0.1634650235592606,0.4364868134526978,0.2378535170413343,11036,104743,9232,2329,1804,0.08100021934634788,0.5635131865473022,0.4364868134526978,0.9189997806536521,118108,0.09343990246215328
A,sub_sampling_plus_smote,Bagging_DT_A,test,0.25,10,20,5,100,1.0,0.1840308263547263,0.7611972064838844,0.9020388119348393,0.1645466847090663,0.4413259133801113,0.23971612564068867,11085,104714,9261,2309,1824,0.08125466110989252,0.5586740866198887,0.4413259133801113,0.9187453388901075,118108,0.09385477698377756
A,baseline,Bagging_DT_A,valid,0.25,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9613703472435361,0.3564273789649416,0.12915910465819722,0.18960923623445827,1198,90410,771,2879,427,0.008455708974457398,0.8708408953418028,0.12915910465819722,0.9915442910255426,94487,0.01267899287732704
A,sub_sampling,Bagging_DT_A,valid,0.25,10,20,5,100,1.0,0.18598395112276367,0.7618379447942347,0.9352291849672442,0.2213861386138614,0.33817301875378103,0.2675921493537578,5050,87249,3932,2188,1118,0.04312301905002139,0.661826981246219,0.33817301875378103,0.9568769809499786,94487,0.05344650586853218
A,smote,Bagging_DT_A,valid,0.25,10,20,5,100,1.0,0.18561805036594498,0.7541467665614446,0.9006529998835818,0.15909855364951228,0.42921960072595283,0.23214723926380368,8919,83681,7500,1887,1419,0.0822539783507529,0.5707803992740472,0.42921960072595283,0.9177460216492471,94487,0.09439393779038387
A,sub_sampling_plus_smote,Bagging_DT_A,valid,0.25,10,20,5,100,1.0,0.1839818656927715,0.7577507232130043,0.9004624974864267,0.16029854071516098,0.4352692075015124,0.23430757958153545,8977,83643,7538,1867,1439,0.08267073184106338,0.5647307924984876,0.4352692075015124,0.9173292681589367,94487,0.09500777884788383
