view,method,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted
A,baseline,Bagging_DT_A,test,0.2,10,20,5,100,1.0,0.18875116593252414,0.762129296313246,0.9530514444406815,0.27896055103318723,0.21558190176627148,0.24321004503889723,3194,111672,2303,3242,891,0.02020618556701031,0.7844180982337285,0.21558190176627148,0.9797938144329897,118108,0.027043045348325263
A,sub_sampling,Bagging_DT_A,test,0.2,10,20,5,100,1.0,0.1798391141097352,0.7635195074159286,0.8402902428285975,0.11736284289276808,0.546576336801355,0.19323382233437406,19248,96986,16989,1874,2259,0.1490590041675806,0.4534236631986451,0.546576336801355,0.8509409958324194,118108,0.16296948555559318
A,smote,Bagging_DT_A,test,0.2,10,20,5,100,1.0,0.1830995094097038,0.757433824990061,0.7659345683611609,0.08892230225889923,0.6152915557706267,0.1553878586049922,28598,87920,26055,1590,2543,0.22860276376398334,0.38470844422937334,0.6152915557706267,0.7713972362360166,118108,0.2421343177430826
A,sub_sampling_plus_smote,Bagging_DT_A,test,0.2,10,20,5,100,1.0,0.18651629840146614,0.7685444907685863,0.7572137365800793,0.08855284334763948,0.6390031454149528,0.15554966575374737,29824,86792,27183,1492,2641,0.23849967098047817,0.36099685458504716,0.6390031454149528,0.7615003290195218,118108,0.25251464761066145
A,baseline,Bagging_DT_A,valid,0.2,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9533904134960365,0.27898550724637683,0.20961887477313976,0.23937823834196892,2484,89390,1791,2613,693,0.01964225003015979,0.7903811252268602,0.20961887477313976,0.9803577499698402,94487,0.02628933080741266
A,sub_sampling,Bagging_DT_A,valid,0.2,10,20,5,100,1.0,0.18176728797070907,0.7606097381425442,0.8376496237577656,0.11424541607898449,0.5390199637023594,0.18853152771900128,15598,77365,13816,1524,1782,0.15152279531920027,0.46098003629764067,0.5390199637023594,0.8484772046807997,94487,0.1650809106014584
A,smote,Bagging_DT_A,valid,0.2,10,20,5,100,1.0,0.18419573272370385,0.7559011266509372,0.7646342883147946,0.0883951476151137,0.6149425287356322,0.15457137426344802,22999,70215,20966,1273,2033,0.22993825468025136,0.3850574712643678,0.6149425287356322,0.7700617453197486,94487,0.24340914623175675
A,sub_sampling_plus_smote,Bagging_DT_A,valid,0.2,10,20,5,100,1.0,0.18570460725324836,0.7652045707694817,0.7560193465767777,0.08762477550849936,0.6346037507562009,0.15398730228632243,23943,69336,21845,1208,2098,0.2395784209429596,0.36539624924379915,0.6346037507562009,0.7604215790570404,94487,0.25339993861589427
