view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples
ATB,baseline,SoftVoting_Bagging_DT_ATB_best_balanced,valid,0.25,multiview_soft_voting,A+T+B,0.23637015611694107,0.7922332778159616,0.9660164890408204,0.7317073170731707,0.045372050816696916,0.0854457419538593,205,91126,55,3156,150,0.0006031958412388546,0.9546279491833031,0.045372050816696916,0.9993968041587612,94487,0.0021696106342671477,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0
ATB,baseline,SoftVoting_Bagging_DT_ATB_best_balanced,test,0.25,multiview_soft_voting,A+T+B,0.237263000983724,0.7951134081120574,0.9661496257662479,0.7115987460815048,0.054923784176143235,0.10197663971248877,319,113883,92,3906,227,0.0008071945602105725,0.9450762158238568,0.054923784176143235,0.9991928054397894,118108,0.0027009178040437566,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0
