view,model,split,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted
B,Bagging_DT_B,valid,0.5,10,20,5,100,1.0,0.2121563410529854,0.7785947106674596,0.9655931503804757,0.8395061728395061,0.0205686630369026,0.040153528196043696,81,94487,0.0008572607871982389
B,Bagging_DT_B,test,0.5,10,20,5,100,1.0,0.21086320448617354,0.7763486279071286,0.9657093507637078,0.832,0.025163319622550206,0.048849224988257396,125,118108,0.0010583533714905002
