view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples
ATBI,baseline,SoftVoting_Bagging_DT_ATBI_best_balanced,valid,0.25,multiview_soft_voting,A+T+B+I,0.23637015611694107,0.7922332778159616,0.9657413189115963,0.9367088607594937,0.02238354506957048,0.04372230428360414,79,91176,5,3232,74,5.48359855671686e-05,0.9776164549304295,0.02238354506957048,0.9999451640144328,94487,0.0008360938541809985,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
ATBI,baseline,SoftVoting_Bagging_DT_ATBI_best_balanced,test,0.25,multiview_soft_voting,A+T+B+I,0.237263000983724,0.7951134081120574,0.9657432180715955,0.9065420560747663,0.02346963464795548,0.04575471698113207,107,113965,10,4036,97,8.77385391533231e-05,0.9765303653520445,0.02346963464795548,0.9999122614608467,118108,0.0009059504859958682,10,20,5,100,1.0,8,10,4,150,1.0,10,20,5,100,1.0,2,10,4,50,0.8
