view,method,model,split,threshold,combination_type,component_views,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,tn,fp,fn,tp,fpr,fnr,tpr,tnr,total_rows,positive_rate_predicted,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples
IT,baseline,SoftVoting_Bagging_DT_IT_best_balanced,valid,0.25,multiview_soft_voting,I+T,0.062399430606013565,0.6068442687799799,0.9650110597225016,0.0,0.0,0.0,0,91181,0,3306,0,0.0,1.0,0.0,1.0,94487,0.0,2,10,4,50,0.8,8,10,4,150,1.0
IT,baseline,SoftVoting_Bagging_DT_IT_best_balanced,test,0.25,multiview_soft_voting,I+T,0.06586460114238071,0.6132483676263897,0.9650066041250381,0.0,0.0,0.0,0,113975,0,4133,0,0.0,1.0,0.0,1.0,118108,0.0,2,10,4,50,0.8,8,10,4,150,1.0
